year,week,pig_price,bean_pulp_price,chance,yumi,xiaomaifu,yufen,siliao,zhurou
2009,1,13.3,3.46,0,1.37,1.3,7.91,2.24,20.85
2009,2,13.31,3.62,0,1.36,1.3,7.91,2.3,20.99
2009,5,13.2,3.6,0,1.35,1.31,7.97,2.3,20.49
2009,7,12.71,3.54,0,1.34,1.3,7.95,2.3,20.21
2009,9,11.78,3.32,0,1.35,1.3,7.79,2.25,19.51
2009,10,11.69,3.24,0,1.38,1.3,7.72,2.24,19.16
2009,11,11.46,3.21,0,1.4,1.31,7.72,2.23,19.05
2009,12,11.29,3.22,0,1.4,1.3,7.75,2.23,18.79
2009,13,10.86,3.27,0,1.4,1.31,7.76,2.24,18.54
2009,14,10.03,3.37,0,1.41,1.32,7.76,2.3,17.42
2009,16,9.68,3.3,0,1.41,1.31,7.85,2.24,16.6
2009,17,8.85,3.3,0,1.4,1.32,7.85,2.23,15.45
2009,21,9.38,3.42,0,1.45,1.34,7.95,2.25,15.49
2009,22,9.34,3.49,0,1.46,1.34,7.95,2.27,15.44
2009,25,9.23,3.32,0,1.42,1.32,7.83,2.23,15.49
2009,26,9.92,3.51,0,1.55,1.36,8.03,2.32,15.73
2009,34,11.83,3.57,0,1.78,1.5,8.11,2.47,17.78
2009,36,11.81,3.6,0,1.8,1.49,8.14,2.47,17.98
2009,37,11.77,3.59,0,1.84,1.49,8.24,2.48,18.23
2009,38,11.75,3.6,0,1.85,1.49,8.39,2.49,18.35
2009,39,11.02,3.62,0,1.68,1.47,8.62,2.46,17.89
2009,44,10.9,3.67,0,1.66,1.45,9.02,2.47,17.5
2009,45,11,3.71,0,1.66,1.45,9.19,2.47,17.39
2009,47,11.48,3.74,0,1.7,1.46,9.23,2.49,17.69
2009,49,12.02,3.86,0,1.73,1.51,9.32,2.52,18.37
2010,2,12.53,3.8,0,1.78,1.57,9.79,2.56,19.42
2010,3,12.38,3.75,0,1.78,1.57,9.77,2.54,19.41
2010,4,11.98,3.7,0,1.78,1.57,9.9,2.54,19.13
2010,11,9.8,3.44,0,1.8,1.58,9.97,2.53,16.81
2010,13,9.67,3.42,0,1.81,1.59,10.05,2.51,16.64
2010,15,9.22,3.37,0,1.84,1.59,10.25,2.51,16.18
2010,16,9.16,3.35,0,1.85,1.59,10.35,2.5,15.78
